timestamp,src_ip,dst_ip,packet_count,byte_count,syn_count,fin_count,rst_count,ack_count,icmp_count,udp_count,duration_sec,label,attack_type
2025-11-12T22:30:31.844938,10.0.0.1,10.0.0.2,4,392,0,0,0,0,4,0,0.7354288101196289,0,Normal
2025-11-12T22:30:31.850269,10.0.0.2,10.0.0.1,4,392,0,0,0,0,4,0,0.7399680614471436,0,Normal
2025-11-12T22:30:31.852942,10.0.0.1,10.0.0.3,6,588,0,0,0,0,6,0,0.7343766689300537,0,Normal
2025-11-12T22:30:31.855177,10.0.0.3,10.0.0.1,6,588,0,0,0,0,6,0,0.7356564998626709,0,Normal
2025-11-12T22:30:31.856812,10.0.0.1,10.0.0.4,8,784,0,0,0,0,8,0,0.7286686897277832,0,Normal
2025-11-12T22:30:31.859701,10.0.0.4,10.0.0.1,8,784,0,0,0,0,8,0,0.7302460670471191,0,Normal
2025-11-12T22:30:31.861435,10.0.0.1,10.0.0.5,10,980,0,0,0,0,10,0,0.7234041690826416,0,Normal
2025-11-12T22:30:31.862967,10.0.0.5,10.0.0.1,10,980,0,0,0,0,10,0,0.7232322692871094,0,Normal
2025-11-12T22:30:31.864243,10.0.0.1,10.0.0.6,2,196,0,0,0,0,2,0,0.7168130874633789,0,Normal
2025-11-12T22:30:31.865614,10.0.0.6,10.0.0.1,2,196,0,0,0,0,2,0,0.7173252105712891,0,Normal
2025-11-12T22:30:31.866918,10.0.0.1,10.0.0.7,4,392,0,0,0,0,4,0,0.7130675315856934,0,Normal
2025-11-12T22:30:31.868115,10.0.0.7,10.0.0.1,4,392,0,0,0,0,4,0,0.7136311531066895,0,Normal
2025-11-12T22:30:31.869657,10.0.0.1,10.0.0.8,6,588,0,0,0,0,6,0,0.7077333927154541,0,Normal
2025-11-12T22:30:31.871439,10.0.0.8,10.0.0.1,6,588,0,0,0,0,6,0,0.7085745334625244,0,Normal
2025-11-12T22:30:31.872955,10.0.0.1,10.0.0.9,8,784,0,0,0,0,8,0,0.7030341625213623,0,Normal
2025-11-12T22:30:31.874594,10.0.0.9,10.0.0.1,8,784,0,0,0,0,8,0,0.7034852504730225,0,Normal
2025-11-12T22:30:31.875862,10.0.0.1,10.0.0.10,10,980,0,0,0,0,10,0,0.695364236831665,0,Normal
2025-11-12T22:30:31.877288,10.0.0.10,10.0.0.1,10,980,0,0,0,0,10,0,0.6953299045562744,0,Normal
2025-11-12T22:30:31.878918,10.0.0.2,10.0.0.3,4,392,0,0,0,0,4,0,0.684840202331543,0,Normal
2025-11-12T22:30:31.880222,10.0.0.3,10.0.0.2,4,392,0,0,0,0,4,0,0.6855432987213135,0,Normal
2025-11-12T22:30:31.881768,10.0.0.2,10.0.0.4,6,588,0,0,0,0,6,0,0.6794114112854004,0,Normal
2025-11-12T22:30:31.883405,10.0.0.4,10.0.0.2,6,588,0,0,0,0,6,0,0.6800930500030518,0,Normal
2025-11-12T22:30:31.884855,10.0.0.2,10.0.0.5,8,784,0,0,0,0,8,0,0.6731908321380615,0,Normal
